05-26-2026 13:25:48 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.281C soc2@47.75C soc0@47.093C gpu@48.687C tj@50.281C soc1@49.125C VDD_IN 8703mW/7498mW VDD_CPU_GPU_CV 4199mW/2982mW VDD_SOC 1470mW/1485mW
05-26-2026 13:25:49 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.343C soc2@47.875C soc0@47.093C gpu@48.562C tj@50.343C soc1@49.187C VDD_IN 8743mW/7529mW VDD_CPU_GPU_CV 4199mW/3012mW VDD_SOC 1470mW/1484mW
05-26-2026 13:25:49 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.468C soc2@47.812C soc0@47.062C gpu@48.5C tj@50.468C soc1@49.25C VDD_IN 8743mW/7559mW VDD_CPU_GPU_CV 4199mW/3041mW VDD_SOC 1470mW/1484mW
05-26-2026 13:25:50 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.625C soc2@47.968C soc0@47.062C gpu@48.593C tj@50.625C soc1@49.312C VDD_IN 8743mW/7587mW VDD_CPU_GPU_CV 4199mW/3069mW VDD_SOC 1470mW/1483mW
05-26-2026 13:25:50 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.281C soc2@47.875C soc0@47.031C gpu@48.875C tj@50.281C soc1@49.156C VDD_IN 8743mW/7614mW VDD_CPU_GPU_CV 4199mW/3095mW VDD_SOC 1470mW/1483mW
05-26-2026 13:25:51 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.312C soc2@48C soc0@47.187C gpu@48.75C tj@50.312C soc1@49.218C VDD_IN 8703mW/7638mW VDD_CPU_GPU_CV 4199mW/3120mW VDD_SOC 1470mW/1483mW
05-26-2026 13:25:51 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.375C soc2@47.968C soc0@47.218C gpu@48.968C tj@50.375C soc1@49.218C VDD_IN 8703mW/7662mW VDD_CPU_GPU_CV 4199mW/3144mW VDD_SOC 1470mW/1483mW
05-26-2026 13:25:52 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.437C soc2@48.031C soc0@47.218C gpu@48.718C tj@50.437C soc1@49.25C VDD_IN 8703mW/7685mW VDD_CPU_GPU_CV 4206mW/3167mW VDD_SOC 1470mW/1482mW
05-26-2026 13:25:52 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.531C soc2@48.093C soc0@47.281C gpu@49C tj@50.531C soc1@49.375C VDD_IN 8703mW/7706mW VDD_CPU_GPU_CV 4206mW/3189mW VDD_SOC 1470mW/1482mW
05-26-2026 13:25:53 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.625C soc2@48.156C soc0@47.468C gpu@48.812C tj@50.625C soc1@49.343C VDD_IN 8743mW/7728mW VDD_CPU_GPU_CV 4199mW/3210mW VDD_SOC 1470mW/1482mW
