05-26-2026 17:21:24 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.468C soc2@45.968C soc0@45.156C gpu@46.656C tj@48.468C soc1@47.281C VDD_IN 8664mW/7272mW VDD_CPU_GPU_CV 4166mW/2776mW VDD_SOC 1470mW/1482mW
05-26-2026 17:21:24 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.625C soc2@46C soc0@44.906C gpu@46.875C tj@48.625C soc1@47.281C VDD_IN 8664mW/7313mW VDD_CPU_GPU_CV 4166mW/2817mW VDD_SOC 1470mW/1482mW
05-26-2026 17:21:25 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@45.906C soc0@45.062C gpu@46.812C tj@48.312C soc1@47.468C VDD_IN 8664mW/7351mW VDD_CPU_GPU_CV 4166mW/2856mW VDD_SOC 1470mW/1482mW
05-26-2026 17:21:25 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@45.937C soc0@45.156C gpu@46.968C tj@48.375C soc1@47.281C VDD_IN 8664mW/7388mW VDD_CPU_GPU_CV 4166mW/2892mW VDD_SOC 1470mW/1481mW
05-26-2026 17:21:26 RAM 1653/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.656C soc2@46.031C soc0@45.093C gpu@46.781C tj@48.375C soc1@47.312C VDD_IN 8664mW/7422mW VDD_CPU_GPU_CV 4166mW/2927mW VDD_SOC 1470mW/1481mW
05-26-2026 17:21:26 RAM 1653/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@46.031C soc0@45.156C gpu@46.937C tj@48.5C soc1@47.375C VDD_IN 8664mW/7455mW VDD_CPU_GPU_CV 4166mW/2959mW VDD_SOC 1470mW/1481mW
05-26-2026 17:21:27 RAM 1653/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@46.093C soc0@45.218C gpu@46.875C tj@48.5C soc1@47.437C VDD_IN 8664mW/7486mW VDD_CPU_GPU_CV 4166mW/2990mW VDD_SOC 1470mW/1480mW
05-26-2026 17:21:27 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.562C soc2@46.125C soc0@45.312C gpu@46.875C tj@48.562C soc1@47.437C VDD_IN 8664mW/7515mW VDD_CPU_GPU_CV 4159mW/3019mW VDD_SOC 1470mW/1480mW
05-26-2026 17:21:28 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.687C soc2@46.093C soc0@45.312C gpu@46.812C tj@48.687C soc1@47.562C VDD_IN 8664mW/7543mW VDD_CPU_GPU_CV 4166mW/3047mW VDD_SOC 1470mW/1480mW
05-26-2026 17:21:28 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.687C soc2@46.218C soc0@45.218C gpu@47.062C tj@48.687C soc1@47.718C VDD_IN 8664mW/7570mW VDD_CPU_GPU_CV 4166mW/3074mW VDD_SOC 1470mW/1480mW
05-26-2026 17:21:29 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@46.125C soc0@45.25C gpu@46.906C tj@48.531C soc1@47.593C VDD_IN 8664mW/7596mW VDD_CPU_GPU_CV 4166mW/3099mW VDD_SOC 1470mW/1479mW
05-26-2026 17:21:29 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@46.187C soc0@45.312C gpu@46.843C tj@48.531C soc1@47.531C VDD_IN 8664mW/7620mW VDD_CPU_GPU_CV 4166mW/3124mW VDD_SOC 1472mW/1479mW
05-26-2026 17:21:30 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.687C soc2@46.281C soc0@45.375C gpu@46.875C tj@48.687C soc1@47.625C VDD_IN 8678mW/7643mW VDD_CPU_GPU_CV 4166mW/3147mW VDD_SOC 1470mW/1479mW
05-26-2026 17:21:30 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.718C soc2@46.281C soc0@45.375C gpu@47.343C tj@48.718C soc1@47.562C VDD_IN 8664mW/7665mW VDD_CPU_GPU_CV 4166mW/3169mW VDD_SOC 1470mW/1479mW
05-26-2026 17:21:31 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.687C soc2@46.281C soc0@45.437C gpu@46.937C tj@48.687C soc1@47.656C VDD_IN 8664mW/7687mW VDD_CPU_GPU_CV 4166mW/3190mW VDD_SOC 1472mW/1479mW
05-26-2026 17:21:31 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.843C soc2@46.375C soc0@45.531C gpu@47.375C tj@48.843C soc1@47.656C VDD_IN 8664mW/7707mW VDD_CPU_GPU_CV 4166mW/3210mW VDD_SOC 1472mW/1479mW
05-26-2026 17:21:32 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.906C soc2@46.375C soc0@45.531C gpu@47C tj@48.906C soc1@47.781C VDD_IN 8664mW/7727mW VDD_CPU_GPU_CV 4166mW/3230mW VDD_SOC 1470mW/1478mW
05-26-2026 17:21:32 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.031C soc2@46.343C soc0@45.5C gpu@47.312C tj@49.031C soc1@47.875C VDD_IN 8664mW/7745mW VDD_CPU_GPU_CV 4166mW/3249mW VDD_SOC 1470mW/1478mW
05-26-2026 17:21:33 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.906C soc2@46.406C soc0@45.562C gpu@47.25C tj@48.906C soc1@47.781C VDD_IN 8664mW/7763mW VDD_CPU_GPU_CV 4166mW/3267mW VDD_SOC 1470mW/1478mW
05-26-2026 17:21:33 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.75C soc2@46.406C soc0@45.468C gpu@47.281C tj@48.75C soc1@47.812C VDD_IN 8664mW/7781mW VDD_CPU_GPU_CV 4166mW/3284mW VDD_SOC 1470mW/1478mW
05-26-2026 17:21:34 RAM 1654/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.843C soc2@46.468C soc0@45.625C gpu@47.187C tj@48.843C soc1@47.781C VDD_IN 8678mW/7798mW VDD_CPU_GPU_CV 4166mW/3301mW VDD_SOC 1472mW/1478mW
