09-24-2026 18:34:38 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.843C soc2@52.125C soc0@52.5C gpu@53.437C tj@53.843C soc1@53.781C VDD_IN 5942mW/6118mW VDD_CPU_GPU_CV 870mW/1001mW VDD_SOC 2337mW/2349mW
09-24-2026 18:34:39 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,0%@1728,1%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.625C soc2@51.968C soc0@52.437C gpu@53.218C tj@53.812C soc1@53.812C VDD_IN 5942mW/6113mW VDD_CPU_GPU_CV 870mW/997mW VDD_SOC 2376mW/2350mW
09-24-2026 18:34:39 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.781C soc2@52.031C soc0@52.437C gpu@53.437C tj@53.781C soc1@53.687C VDD_IN 5942mW/6109mW VDD_CPU_GPU_CV 870mW/994mW VDD_SOC 2376mW/2350mW
09-24-2026 18:34:40 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.812C soc2@52.062C soc0@52.437C gpu@53.562C tj@53.812C soc1@53.718C VDD_IN 5942mW/6104mW VDD_CPU_GPU_CV 870mW/991mW VDD_SOC 2376mW/2351mW
09-24-2026 18:34:40 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.687C soc2@52C soc0@52.437C gpu@53.093C tj@53.75C soc1@53.75C VDD_IN 5982mW/6101mW VDD_CPU_GPU_CV 870mW/988mW VDD_SOC 2373mW/2352mW
09-24-2026 18:34:41 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@1728,0%@1728,1%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.437C soc2@51.937C soc0@52.437C gpu@53.187C tj@53.718C soc1@53.718C VDD_IN 5942mW/6098mW VDD_CPU_GPU_CV 870mW/985mW VDD_SOC 2373mW/2352mW
09-24-2026 18:34:41 RAM 1109/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.375C soc2@51.937C soc0@52.375C gpu@53.062C tj@53.625C soc1@53.625C VDD_IN 5942mW/6094mW VDD_CPU_GPU_CV 870mW/982mW VDD_SOC 2376mW/2353mW
09-24-2026 18:34:42 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@51.937C soc0@52.343C gpu@53.125C tj@53.593C soc1@53.593C VDD_IN 5982mW/6091mW VDD_CPU_GPU_CV 870mW/979mW VDD_SOC 2376mW/2353mW
09-24-2026 18:34:42 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.468C soc2@51.937C soc0@52.406C gpu@53.156C tj@53.593C soc1@53.593C VDD_IN 5982mW/6089mW VDD_CPU_GPU_CV 870mW/977mW VDD_SOC 2376mW/2354mW
09-24-2026 18:34:43 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@51.875C soc0@52.312C gpu@53.218C tj@53.75C soc1@53.75C VDD_IN 5982mW/6086mW VDD_CPU_GPU_CV 870mW/974mW VDD_SOC 2376mW/2354mW
