@relation 'MLC'

@attribute F1_ABS_VARIANCE_ACC_V_FILTER_1 numeric
@attribute F2_ABS_PEAK_TO_PEAK_ACC_V_FILTER_1 numeric
@attribute class {still, motion}

@data
9.41753e-06, 0.012207, still
2.3663e-05, 0.0214844, still
1.59144e-05, 0.0170898, still
5.42402e-06, 0.0112305, still
6.3777e-06, 0.0107422, still
8.40425e-06, 0.012207, still
5.10216e-05, 0.0317383, still
3.17693e-05, 0.0205078, still
2.99215e-05, 0.0258789, still
6.79493e-06, 0.0112305, still
2.01464e-05, 0.0166016, still
3.57628e-06, 0.00878906, still
1.53184e-05, 0.015625, still
2.42591e-05, 0.0214844, still
2.11e-05, 0.015625, still
1.23382e-05, 0.0136719, still
1.53184e-05, 0.0200195, still
2.02656e-05, 0.0205078, still
4.93526e-05, 0.0229492, still
1.26362e-05, 0.0180664, still
1.61529e-05, 0.0180664, still
1.19805e-05, 0.0131836, still
2.52724e-05, 0.0180664, still
8.40425e-06, 0.0102539, still
2.21133e-05, 0.0175781, still
9.95398e-06, 0.0112305, still
6.91414e-06, 0.0117188, still
2.00868e-05, 0.0200195, still
3.14116e-05, 0.0249023, still
5.98431e-05, 0.0332031, still
1.00732e-05, 0.0117188, still
7.98702e-06, 0.0151367, still
3.54648e-05, 0.0214844, still
8.34465e-06, 0.0136719, still
1.8239e-05, 0.0185547, still
8.40425e-06, 0.015625, still
1.23978e-05, 0.0126953, still
1.46031e-05, 0.015625, still
1.43647e-05, 0.0126953, still
6.31809e-06, 0.0107422, still
1.09076e-05, 0.0136719, still
8.40425e-06, 0.0131836, still
9.17912e-06, 0.0117188, still
1.42455e-05, 0.0151367, still
2.89083e-05, 0.0195313, still
1.11461e-05, 0.0175781, still
5.06639e-06, 0.00878906, still
4.02927e-05, 0.0234375, still
8.34465e-06, 0.0146484, still
7.21216e-06, 0.012207, still
1.09076e-05, 0.0131836, still
6.79493e-06, 0.0141602, still
1.30534e-05, 0.0151367, still
9.83477e-06, 0.0117188, still
2.75373e-05, 0.019043, still
9.0003e-06, 0.0107422, still
1.30534e-05, 0.0170898, still
2.19941e-05, 0.0175781, still
1.96695e-05, 0.0151367, still
2.61068e-05, 0.0205078, still
7.56979e-06, 0.0126953, still
6.3777e-06, 0.0107422, still
1.74046e-05, 0.0161133, still
9.05991e-06, 0.0117188, still
1.78218e-05, 0.0136719, still
9.59635e-06, 0.0126953, still
2.19345e-05, 0.0180664, still
9.65595e-06, 0.0131836, still
1.21593e-05, 0.0126953, still
1.37687e-05, 0.0136719, still
1.27554e-05, 0.012207, still
1.65701e-05, 0.0161133, still
1.13249e-05, 0.0161133, still
7.92742e-06, 0.0112305, still
3.60012e-05, 0.0200195, still
1.70469e-05, 0.0166016, still
1.00136e-05, 0.0146484, still
1.82986e-05, 0.0175781, still
8.10623e-05, 0.0307617, still
6.19888e-06, 0.00878906, still
1.04904e-05, 0.015625, still
9.65595e-06, 0.012207, still
7.92742e-06, 0.0131836, still
2.37823e-05, 0.0185547, still
5.54323e-06, 0.00976563, still
1.10865e-05, 0.0131836, still
7.09295e-06, 0.012207, still
1.01924e-05, 0.0146484, still
1.00732e-05, 0.0117188, still
1.21593e-05, 0.012207, still
2.06232e-05, 0.0161133, still
1.21593e-05, 0.0146484, still
1.01328e-05, 0.0136719, still
6.79493e-06, 0.0131836, still
1.04904e-05, 0.012207, still
1.53184e-05, 0.015625, still
8.46386e-06, 0.0151367, still
2.60472e-05, 0.0185547, still
1.38879e-05, 0.0146484, still
1.91331e-05, 0.0170898, still
6.79493e-06, 0.0102539, still
1.24574e-05, 0.0161133, still
1.9908e-05, 0.0175781, still
7.62939e-06, 0.0117188, still
1.10865e-05, 0.0141602, still
7.80821e-06, 0.0112305, still
1.93715e-05, 0.0151367, still
7.689e-06, 0.0126953, still
6.19888e-06, 0.0126953, still
1.51992e-05, 0.0141602, still
1.43051e-05, 0.0151367, still
2.00272e-05, 0.0180664, still
9.65595e-06, 0.0112305, still
8.52346e-06, 0.0107422, still
1.06692e-05, 0.0117188, still
1.44839e-05, 0.0151367, still
9.17912e-06, 0.0107422, still
1.20997e-05, 0.012207, still
1.0252e-05, 0.0117188, still
1.0848e-05, 0.012207, still
1.01924e-05, 0.0141602, still
1.31726e-05, 0.0117188, still
1.00136e-05, 0.0102539, still
1.75834e-05, 0.0136719, still
1.90139e-05, 0.0161133, still
1.95503e-05, 0.0180664, still
5.90086e-06, 0.00927734, still
1.28746e-05, 0.0151367, still
1.0848e-05, 0.0141602, still
1.54972e-06, 0.00537109, still
3.89814e-05, 0.0263672, still
1.13845e-05, 0.0131836, still
1.0252e-05, 0.0112305, still
6.19888e-06, 0.00976563, still
8.22544e-06, 0.0102539, still
1.40667e-05, 0.012207, still
1.24574e-05, 0.0136719, still
1.5974e-05, 0.015625, still
6.25849e-06, 0.0102539, still
1.0848e-05, 0.0131836, still
1.78218e-05, 0.015625, still
1.20401e-05, 0.0126953, still
1.87755e-05, 0.0195313, still
5.81145e-05, 0.0263672, still
1.38283e-05, 0.0161133, still
1.77622e-05, 0.0170898, still
1.29938e-05, 0.0200195, still
1.15633e-05, 0.0166016, still
1.51992e-05, 0.0146484, still
2.3067e-05, 0.0180664, still
6.79493e-06, 0.0117188, still
1.06096e-05, 0.012207, still
1.65701e-05, 0.0151367, still
1.23978e-05, 0.0146484, still
1.07288e-05, 0.015625, still
1.56164e-05, 0.015625, still
1.88947e-05, 0.0185547, still
7.689e-06, 0.0117188, still
1.8239e-05, 0.0166016, still
1.60933e-05, 0.0170898, still
3.8743e-06, 0.012207, still
9.71556e-06, 0.0131836, still
8.64267e-06, 0.0112305, still
7.39098e-06, 0.0107422, still
8.9407e-06, 0.0136719, still
5.36442e-06, 0.0102539, still
2.15173e-05, 0.0180664, still
1.23978e-05, 0.0146484, still
8.64267e-06, 0.00976563, still
1.49608e-05, 0.0131836, still
6.31809e-06, 0.0107422, still
6.61612e-06, 0.0117188, still
7.03335e-06, 0.0112305, still
6.3777e-06, 0.0112305, still
1.18017e-05, 0.0107422, still
7.689e-06, 0.012207, still
1.01328e-05, 0.0107422, still
8.52346e-06, 0.0126953, still
9.0003e-06, 0.0102539, still
1.27554e-05, 0.012207, still
1.20997e-05, 0.012207, still
1.00136e-05, 0.0126953, still
2.11e-05, 0.0166016, still
5.72205e-06, 0.0102539, still
2.30074e-05, 0.0161133, still
1.06692e-05, 0.0126953, still
1.18613e-05, 0.0146484, still
1.27554e-05, 0.012207, still
1.78218e-05, 0.0146484, still
5.96046e-06, 0.0107422, still
2.00868e-05, 0.019043, still
1.71661e-05, 0.0185547, still
1.50204e-05, 0.0166016, still
5.96046e-06, 0.0112305, still
1.00732e-05, 0.012207, still
8.28505e-06, 0.0131836, still
4.58956e-06, 0.00927734, still
4.95911e-05, 0.0263672, still
1.13845e-05, 0.0146484, still
1.3113e-05, 0.0126953, still
6.85453e-06, 0.0112305, still
2.13981e-05, 0.0175781, still
1.57356e-05, 0.0146484, still
8.88109e-06, 0.0136719, still
2.01464e-05, 0.019043, still
8.46386e-06, 0.0117188, still
6.13928e-06, 0.0102539, still
9.29832e-06, 0.0146484, still
1.10865e-05, 0.012207, still
1.54376e-05, 0.0146484, still
1.03116e-05, 0.012207, still
6.25849e-06, 0.00976563, still
1.06692e-05, 0.0141602, still
7.03335e-06, 0.0126953, still
1.7941e-05, 0.0146484, still
1.01328e-05, 0.0131836, still
1.33514e-05, 0.012207, still
8.04663e-06, 0.012207, still
7.86781e-06, 0.0117188, still
1.90139e-05, 0.0175781, still
1.16229e-05, 0.015625, still
1.09076e-05, 0.0131836, still
3.11136e-05, 0.0214844, still
1.59144e-05, 0.0146484, still
6.61612e-06, 0.0126953, still
1.32322e-05, 0.0131836, still
1.10269e-05, 0.0141602, still
1.93119e-05, 0.0200195, still
1.77622e-05, 0.0175781, still
1.16825e-05, 0.0146484, still
8.82149e-06, 0.0107422, still
7.03335e-06, 0.0112305, still
1.26362e-05, 0.0146484, still
8.40425e-06, 0.0146484, still
1.46031e-05, 0.0170898, still
3.20673e-05, 0.0205078, still
1.10269e-05, 0.0117188, still
9.71556e-06, 0.0117188, still
7.21216e-06, 0.0112305, still
7.80821e-06, 0.0102539, still
6.85453e-06, 0.012207, still
7.98702e-06, 0.0161133, still
4.24981e-05, 0.0244141, still
1.93715e-05, 0.015625, still
8.04663e-06, 0.0151367, still
3.57628e-06, 0.00732422, still
4.64916e-06, 0.00976563, still
1.2517e-05, 0.0170898, still
1.99676e-05, 0.0185547, still
1.91927e-05, 0.015625, still
3.01003e-05, 0.0214844, still
1.27554e-05, 0.0151367, still
5.06639e-06, 0.00878906, still
1.75834e-05, 0.015625, still
1.51396e-05, 0.0175781, still
8.46386e-06, 0.0136719, still
6.61612e-06, 0.0131836, still
2.48551e-05, 0.0239258, still
1.26958e-05, 0.012207, still
8.28505e-06, 0.0141602, still
8.34465e-06, 0.012207, still
7.56979e-06, 0.0126953, still
1.96099e-05, 0.0205078, still
1.10865e-05, 0.0112305, still
9.23872e-06, 0.0151367, still
9.53674e-06, 0.0117188, still
1.75238e-05, 0.0166016, still
8.40425e-06, 0.0175781, still
1.20401e-05, 0.012207, still
1.26362e-05, 0.0141602, still
1.3113e-05, 0.0136719, still
2.44975e-05, 0.015625, still
1.35899e-05, 0.0146484, still
8.88109e-06, 0.015625, still
5.54323e-06, 0.0112305, still
1.29342e-05, 0.0141602, still
8.22544e-06, 0.0166016, still
1.72257e-05, 0.0175781, still
1.38879e-05, 0.0166016, still
2.86102e-06, 0.00732422, still
2.55704e-05, 0.0195313, still
1.2219e-05, 0.0141602, still
8.46386e-06, 0.0136719, still
1.7643e-05, 0.0229492, still
2.11596e-05, 0.0209961, still
1.03712e-05, 0.0126953, still
2.22921e-05, 0.0161133, still
1.26958e-05, 0.0180664, still
3.3915e-05, 0.0224609, still
1.55568e-05, 0.0146484, still
8.28505e-06, 0.0102539, still
8.10623e-06, 0.0107422, still
6.91414e-06, 0.0117188, still
4.29153e-06, 0.00976563, still
8.52346e-06, 0.0112305, still
5.60284e-06, 0.0102539, still
1.53184e-05, 0.0126953, still
1.3113e-05, 0.0161133, still
1.78814e-05, 0.0170898, still
3.03984e-05, 0.0229492, still
6.25849e-06, 0.0126953, still
9.11951e-06, 0.0112305, still
1.91927e-05, 0.019043, still
1.5378e-05, 0.0166016, still
8.76188e-06, 0.012207, still
9.65595e-06, 0.0136719, still
8.16584e-06, 0.0146484, still
8.28505e-06, 0.0117188, still
1.74642e-05, 0.0141602, still
1.37687e-05, 0.0151367, still
8.40425e-06, 0.0107422, still
1.23978e-05, 0.0126953, still
1.3113e-05, 0.0131836, still
1.77622e-05, 0.015625, still
2.13385e-05, 0.0170898, still
1.04308e-05, 0.0107422, still
2.01464e-05, 0.0214844, still
1.54972e-05, 0.0170898, still
1.77026e-05, 0.0136719, still
1.97887e-05, 0.0224609, still
1.2219e-05, 0.0131836, still
2.39611e-05, 0.0180664, still
1.06692e-05, 0.012207, still
1.84178e-05, 0.0151367, still
1.49608e-05, 0.0180664, still
2.94447e-05, 0.0180664, still
1.81198e-05, 0.0161133, still
6.19888e-06, 0.00927734, still
1.09076e-05, 0.0151367, still
1.0848e-05, 0.012207, still
1.2815e-05, 0.0131836, still
8.34465e-06, 0.00976563, still
