05-25-2026 21:14:26 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1299,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@46.468C soc0@46.468C gpu@47.687C tj@48.437C soc1@48.437C VDD_IN 4487mW/4679mW VDD_CPU_GPU_CV 480mW/602mW VDD_SOC 1442mW/1445mW
05-25-2026 21:14:27 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1303,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.531C soc0@46.343C gpu@47.562C tj@48.437C soc1@48.437C VDD_IN 4487mW/4674mW VDD_CPU_GPU_CV 480mW/600mW VDD_SOC 1442mW/1445mW
05-25-2026 21:14:27 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1263,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.593C soc0@46.375C gpu@47.375C tj@48.656C soc1@48.656C VDD_IN 4487mW/4670mW VDD_CPU_GPU_CV 480mW/597mW VDD_SOC 1442mW/1445mW
05-25-2026 21:14:28 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1252,1%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@46.5C soc0@46.281C gpu@47.781C tj@48.468C soc1@48.468C VDD_IN 4487mW/4667mW VDD_CPU_GPU_CV 480mW/595mW VDD_SOC 1442mW/1445mW
05-25-2026 21:14:28 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1293,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.75C soc2@46.531C soc0@46.468C gpu@47.531C tj@48.468C soc1@48.468C VDD_IN 4487mW/4663mW VDD_CPU_GPU_CV 480mW/592mW VDD_SOC 1442mW/1445mW
05-25-2026 21:14:29 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1281,1%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@46.562C soc0@46.281C gpu@47.406C tj@48.5C soc1@48.5C VDD_IN 4527mW/4660mW VDD_CPU_GPU_CV 480mW/590mW VDD_SOC 1442mW/1445mW
05-25-2026 21:14:29 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1285,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.437C soc0@46.281C gpu@47.812C tj@48.375C soc1@48.375C VDD_IN 4487mW/4657mW VDD_CPU_GPU_CV 480mW/588mW VDD_SOC 1442mW/1445mW
05-25-2026 21:14:30 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1285,0%@729,0%@729,1%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@46.5C soc0@46.375C gpu@47.656C tj@48.375C soc1@48.375C VDD_IN 4487mW/4654mW VDD_CPU_GPU_CV 480mW/586mW VDD_SOC 1442mW/1445mW
05-25-2026 21:14:30 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1278,0%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@46.468C soc0@46.406C gpu@47.531C tj@48.468C soc1@48.468C VDD_IN 4527mW/4651mW VDD_CPU_GPU_CV 480mW/584mW VDD_SOC 1442mW/1445mW
05-25-2026 21:14:31 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@729,3%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@46.531C soc0@46.562C gpu@47.343C tj@48.5C soc1@48.5C VDD_IN 4567mW/4650mW VDD_CPU_GPU_CV 480mW/582mW VDD_SOC 1442mW/1445mW
