Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
18.626413340,1,0,0,1,1
18.626414600,1,0,0,1,0
18.626414700,1,0,0,0,0
18.626416020,1,0,0,0,1
18.626417280,1,0,0,0,0
18.626419620,1,0,0,0,1
18.626420880,1,0,0,0,0
18.626422300,1,0,0,0,1
18.626423560,1,0,0,0,0
18.626425000,1,0,0,0,1
18.626426260,1,0,0,0,0
18.626427680,1,0,0,0,1
18.626428960,1,0,0,0,0
18.626430380,1,0,0,0,1
18.626431640,1,0,0,0,0
18.626433060,1,0,0,0,1
18.626434340,1,0,0,0,0
18.626435760,1,0,0,0,1
18.626437020,1,0,0,0,0
18.626438460,1,0,0,0,1
18.626439720,1,0,0,0,0
18.626439980,1,0,0,1,0
18.626441140,1,0,0,1,1
18.626442400,1,0,0,1,0
18.626443300,1,0,0,0,0
18.626444740,1,0,0,0,1
18.626446540,1,0,0,1,1
18.626492800,1,0,0,0,1
18.626494140,1,0,0,0,0
18.626494620,1,0,0,1,0
18.626495520,1,0,0,1,1
18.626496840,1,0,0,1,0
18.626498220,1,0,0,1,1
18.626499520,1,0,0,1,0
18.626499980,1,0,0,0,0
18.626500920,1,0,0,0,1
18.626502220,1,0,0,0,0
18.626502700,1,0,0,1,0
18.626503620,1,0,0,1,1
18.626504900,1,0,0,1,0
18.626505360,1,0,0,0,0
18.626506300,1,0,0,0,1
18.626507580,1,0,0,0,0
18.626508100,1,0,0,1,0
18.626509000,1,0,0,1,1
18.626510280,1,0,0,1,0
18.626510740,1,0,0,0,0
18.626511700,1,0,0,0,1
18.626512960,1,0,0,0,0
18.626514380,1,0,0,0,1
18.626515660,1,0,0,0,0
18.626517080,1,0,0,0,1
18.626518360,1,0,0,0,0
18.626518580,1,0,0,1,0
18.626519240,1,0,0,0,0
18.626520680,1,0,0,0,1
18.626521940,1,0,0,0,0
18.626523360,1,0,0,0,1
18.626524620,1,0,0,0,0
18.626526060,1,0,0,0,1
18.626527320,1,0,0,0,0
18.626528740,1,0,0,0,1
18.626530020,1,0,0,0,0
18.626530560,1,0,0,1,0
18.626531440,1,0,0,1,1
18.626532700,1,0,0,1,0
18.626534120,1,0,0,1,1
18.626535400,1,0,0,1,0
18.626536820,1,0,0,1,1
18.626538080,1,0,0,1,0
18.626539500,1,0,0,1,1
18.626540780,1,0,0,1,0
18.626540880,1,0,0,0,0
18.626542200,1,0,0,0,1
18.626543460,1,0,0,0,0
18.626543680,1,0,0,1,0
18.626544360,1,0,0,0,0
18.626545800,1,0,0,0,1
18.626547580,1,0,0,1,1
18.626596120,1,0,0,0,1
18.626597460,1,0,0,0,0
18.626597960,1,0,0,1,0
18.626598860,1,0,0,1,1
18.626600160,1,0,0,1,0
18.626601560,1,0,0,1,1
18.626602840,1,0,0,1,0
18.626603300,1,0,0,0,0
18.626604240,1,0,0,0,1
18.626605540,1,0,0,0,0
18.626606040,1,0,0,1,0
18.626606940,1,0,0,1,1
18.626608220,1,0,0,1,0
18.626608680,1,0,0,0,0
18.626609640,1,0,0,0,1
18.626610920,1,0,0,0,0
18.626611420,1,0,0,1,0
18.626612320,1,0,0,1,1
18.626613600,1,0,0,1,0
18.626614060,1,0,0,0,0
18.626615020,1,0,0,0,1
18.626616300,1,0,0,0,0
18.626616820,1,0,0,1,0
18.626617720,1,0,0,1,1
18.626618980,1,0,0,1,0
18.626619080,1,0,0,0,0
18.626620400,1,0,0,0,1
18.626621680,1,0,0,0,0
18.626624000,1,0,0,0,1
18.626625260,1,0,0,0,0
18.626626680,1,0,0,0,1
18.626627960,1,0,0,0,0
18.626629380,1,0,0,0,1
18.626630640,1,0,0,0,0
18.626632080,1,0,0,0,1
18.626633340,1,0,0,0,0
18.626634760,1,0,0,0,1
18.626636020,1,0,0,0,0
18.626637460,1,0,0,0,1
18.626638720,1,0,0,0,0
18.626640140,1,0,0,0,1
18.626641420,1,0,0,0,0
18.626642840,1,0,0,0,1
18.626644100,1,0,0,0,0
18.626644360,1,0,0,1,0
18.626645520,1,0,0,1,1
18.626646800,1,0,0,1,0
18.626647680,1,0,0,0,0
18.626649120,1,0,0,0,1
18.626650920,1,0,0,1,1
18.626698360,1,0,0,0,1
18.626699700,1,0,0,0,0
18.626700200,1,0,0,1,0
18.626701100,1,0,0,1,1
18.626702400,1,0,0,1,0
18.626703800,1,0,0,1,1
18.626705100,1,0,0,1,0
18.626705540,1,0,0,0,0
18.626706480,1,0,0,0,1
18.626707780,1,0,0,0,0
18.626708280,1,0,0,1,0
18.626709180,1,0,0,1,1
18.626710480,1,0,0,1,0
18.626710920,1,0,0,0,0
18.626711880,1,0,0,0,1
18.626713160,1,0,0,0,0
18.626713660,1,0,0,1,0
18.626714580,1,0,0,1,1
18.626715860,1,0,0,1,0
18.626716300,1,0,0,0,0
18.626717260,1,0,0,0,1
18.626718540,1,0,0,0,0
18.626719060,1,0,0,1,0
18.626719960,1,0,0,1,1
18.626721240,1,0,0,1,0
18.626721320,1,0,0,0,0
18.626722660,1,0,0,0,1
18.626723920,1,0,0,0,0
18.626726240,1,0,0,0,1
18.626727500,1,0,0,0,0
18.626728940,1,0,0,0,1
18.626730200,1,0,0,0,0
18.626731620,1,0,0,0,1
18.626732880,1,0,0,0,0
18.626734320,1,0,0,0,1
18.626735580,1,0,0,0,0
18.626737000,1,0,0,0,1
18.626738280,1,0,0,0,0
18.626739700,1,0,0,0,1
18.626740960,1,0,0,0,0
18.626742380,1,0,0,0,1
18.626743660,1,0,0,0,0
18.626745080,1,0,0,0,1
18.626746340,1,0,0,0,0
18.626746600,1,0,0,1,0
18.626747760,1,0,0,1,1
18.626749040,1,0,0,1,0
18.626749940,1,0,0,0,0
18.626751360,1,0,0,0,1
18.626753160,1,0,0,1,1
18.626798960,1,0,0,0,1
18.626800320,1,0,0,0,0
18.626800800,1,0,0,1,0
18.626801700,1,0,0,1,1
18.626803000,1,0,0,1,0
18.626804400,1,0,0,1,1
18.626805700,1,0,0,1,0
18.626806140,1,0,0,0,0
18.626807100,1,0,0,0,1
18.626808380,1,0,0,0,0
18.626808880,1,0,0,1,0
18.626809780,1,0,0,1,1
18.626811080,1,0,0,1,0
18.626811520,1,0,0,0,0
18.626812480,1,0,0,0,1
18.626813760,1,0,0,0,0
18.626814280,1,0,0,1,0
18.626815180,1,0,0,1,1
18.626816460,1,0,0,1,0
18.626816900,1,0,0,0,0
18.626817860,1,0,0,0,1
18.626819140,1,0,0,0,0
18.626820560,1,0,0,0,1
18.626821840,1,0,0,0,0
18.626823260,1,0,0,0,1
18.626824520,1,0,0,0,0
18.626824760,1,0,0,1,0
18.626825420,1,0,0,0,0
18.626826840,1,0,0,0,1
18.626828120,1,0,0,0,0
18.626829540,1,0,0,0,1
18.626830800,1,0,0,0,0
18.626832220,1,0,0,0,1
18.626833500,1,0,0,0,0
18.626834920,1,0,0,0,1
18.626836180,1,0,0,0,0
18.626837620,1,0,0,0,1
18.626838880,1,0,0,0,0
18.626840300,1,0,0,0,1
18.626841560,1,0,0,0,0
18.626843000,1,0,0,0,1
18.626844260,1,0,0,0,0
18.626844820,1,0,0,1,0
18.626845680,1,0,0,1,1
18.626846960,1,0,0,1,0
18.626847040,1,0,0,0,0
18.626848380,1,0,0,0,1
18.626849640,1,0,0,0,0
18.626849880,1,0,0,1,0
18.626850540,1,0,0,0,0
18.626851960,1,0,0,0,1
18.626853220,1,0,0,0,0
18.626854660,1,0,0,0,1
18.626855920,1,0,0,0,0
18.626857340,1,0,0,0,1
18.626858620,1,0,0,0,0
18.626860040,1,0,0,0,1
18.626861300,1,0,0,0,0
18.626862720,1,0,0,0,1
18.626864000,1,0,0,0,0
18.626865420,1,0,0,0,1
18.626866680,1,0,0,0,0
18.626868120,1,0,0,0,1
18.626869380,1,0,0,0,0
18.626870800,1,0,0,0,1
18.626872060,1,0,0,0,0
18.626873500,1,0,0,0,1
18.626874760,1,0,0,0,0
18.626875020,1,0,0,1,0
18.626875660,1,0,0,0,0
18.626877080,1,0,0,0,1
18.626878900,1,0,0,1,1
18.626918400,1,1,0,1,1
18.626921620,1,0,0,1,1
18.626927140,1,0,0,0,1
18.626928480,1,0,0,0,0
18.626928960,1,0,0,1,0
18.626929860,1,0,0,1,1
18.626931160,1,0,0,1,0
18.626932560,1,0,0,1,1
18.626933860,1,0,0,1,0
18.626934300,1,0,0,0,0
18.626935260,1,0,0,0,1
18.626936540,1,0,0,0,0
18.626937040,1,0,0,1,0
18.626937960,1,0,0,1,1
18.626939240,1,0,0,1,0
18.626939680,1,0,0,0,0
18.626940640,1,0,0,0,1
18.626941920,1,0,0,0,0
18.626942440,1,0,0,1,0
18.626943340,1,0,0,1,1
18.626944620,1,0,0,1,0
18.626945080,1,0,0,0,0
18.626946040,1,0,0,0,1
18.626947300,1,0,0,0,0
18.626947820,1,0,0,1,0
18.626948720,1,0,0,1,1
18.626950000,1,0,0,1,0
18.626950100,1,0,0,0,0
18.626951420,1,0,0,0,1
18.626952680,1,0,0,0,0
18.626955020,1,0,0,0,1
18.626956280,1,0,0,0,0
18.626957700,1,0,0,0,1
18.626958960,1,0,0,0,0
18.626959200,1,0,0,1,0
18.626960400,1,0,0,1,1
18.626961660,1,0,0,1,0
18.626963080,1,0,0,1,1
18.626964360,1,0,0,1,0
18.626965780,1,0,0,1,1
18.626967040,1,0,0,1,0
18.626968460,1,0,0,1,1
18.626969740,1,0,0,1,0
18.626971160,1,0,0,1,1
18.626972420,1,0,0,1,0
18.626973840,1,0,0,1,1
18.626975120,1,0,0,1,0
18.626976540,1,0,0,1,1
18.626977800,1,0,0,1,0
18.626978720,1,0,0,0,0
18.626980120,1,0,0,0,1
18.626981900,1,0,0,1,1
18.627024900,1,0,0,0,1
18.627026260,1,0,0,0,0
18.627026740,1,0,0,1,0
18.627027640,1,0,0,1,1
18.627028940,1,0,0,1,0
18.627030340,1,0,0,1,1
18.627031640,1,0,0,1,0
18.627032080,1,0,0,0,0
18.627033040,1,0,0,0,1
18.627034320,1,0,0,0,0
18.627034820,1,0,0,1,0
18.627035720,1,0,0,1,1
18.627037020,1,0,0,1,0
18.627037460,1,0,0,0,0
18.627038420,1,0,0,0,1
18.627039700,1,0,0,0,0
18.627040220,1,0,0,1,0
18.627041120,1,0,0,1,1
18.627042400,1,0,0,1,0
18.627042840,1,0,0,0,0
18.627043800,1,0,0,0,1
18.627045080,1,0,0,0,0
18.627046500,1,0,0,0,1
18.627047780,1,0,0,0,0
18.627049200,1,0,0,0,1
18.627050460,1,0,0,0,0
18.627050700,1,0,0,1,0
18.627051360,1,0,0,0,0
18.627052780,1,0,0,0,1
18.627054040,1,0,0,0,0
18.627055480,1,0,0,0,1
18.627056740,1,0,0,0,0
18.627058160,1,0,0,0,1
18.627059440,1,0,0,0,0
18.627060860,1,0,0,0,1
18.627062120,1,0,0,0,0
18.627062660,1,0,0,1,0
18.627063540,1,0,0,1,1
18.627064820,1,0,0,1,0
18.627066240,1,0,0,1,1
18.627067500,1,0,0,1,0
18.627068940,1,0,0,1,1
18.627070200,1,0,0,1,0
18.627071620,1,0,0,1,1
18.627072880,1,0,0,1,0
18.627072980,1,0,0,0,0
18.627074320,1,0,0,0,1
18.627075580,1,0,0,0,0
18.627075800,1,0,0,1,0
18.627076480,1,0,0,0,0
18.627077900,1,0,0,0,1
18.627079700,1,0,0,1,1
18.627123680,1,0,0,0,1
18.627125020,1,0,0,0,0
18.627125520,1,0,0,1,0
18.627126420,1,0,0,1,1
18.627127720,1,0,0,1,0
18.627129120,1,0,0,1,1
18.627130400,1,0,0,1,0
18.627130860,1,0,0,0,0
18.627131800,1,0,0,0,1
18.627133100,1,0,0,0,0
18.627133600,1,0,0,1,0
18.627134500,1,0,0,1,1
18.627135780,1,0,0,1,0
18.627136240,1,0,0,0,0
18.627137200,1,0,0,0,1
18.627138480,1,0,0,0,0
18.627138980,1,0,0,1,0
18.627139880,1,0,0,1,1
18.627141160,1,0,0,1,0
18.627141620,1,0,0,0,0
18.627142580,1,0,0,0,1
18.627143860,1,0,0,0,0
18.627145280,1,0,0,0,1
18.627146540,1,0,0,0,0
18.627147960,1,0,0,0,1
18.627149240,1,0,0,0,0
18.627149460,1,0,0,1,0
18.627150120,1,0,0,0,0
18.627151560,1,0,0,0,1
18.627152820,1,0,0,0,0
18.627154240,1,0,0,0,1
18.627155520,1,0,0,0,0
18.627156940,1,0,0,0,1
18.627158200,1,0,0,0,0
18.627159640,1,0,0,0,1
18.627160900,1,0,0,0,0
18.627161440,1,0,0,1,0
18.627162320,1,0,0,1,1
18.627163580,1,0,0,1,0
18.627165020,1,0,0,1,1
18.627166280,1,0,0,1,0
18.627167700,1,0,0,1,1
18.627168980,1,0,0,1,0
18.627170400,1,0,0,1,1
18.627171660,1,0,0,1,0
18.627171760,1,0,0,0,0
18.627173080,1,0,0,0,1
18.627174360,1,0,0,0,0
18.627174560,1,0,0,1,0
