05-26-2026 17:42:24 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.812C soc2@46.125C soc0@45.156C gpu@46.718C tj@48.812C soc1@47.687C VDD_IN 8703mW/6832mW VDD_CPU_GPU_CV 4199mW/2349mW VDD_SOC 1470mW/1484mW
05-26-2026 17:42:24 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.687C soc2@46.125C soc0@45.156C gpu@46.906C tj@48.687C soc1@47.5C VDD_IN 8703mW/6887mW VDD_CPU_GPU_CV 4199mW/2403mW VDD_SOC 1470mW/1483mW
05-26-2026 17:42:25 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.562C soc2@46.156C soc0@45.281C gpu@46.843C tj@48.562C soc1@47.437C VDD_IN 8703mW/6939mW VDD_CPU_GPU_CV 4206mW/2455mW VDD_SOC 1470mW/1483mW
05-26-2026 17:42:25 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.656C soc2@46.187C soc0@45.406C gpu@46.875C tj@48.656C soc1@47.562C VDD_IN 8703mW/6988mW VDD_CPU_GPU_CV 4206mW/2504mW VDD_SOC 1470mW/1482mW
05-26-2026 17:42:26 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.718C soc2@46.25C soc0@45.375C gpu@47.343C tj@48.718C soc1@47.656C VDD_IN 8703mW/7034mW VDD_CPU_GPU_CV 4206mW/2550mW VDD_SOC 1470mW/1482mW
05-26-2026 17:42:26 RAM 1636/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.781C soc2@46.406C soc0@45.343C gpu@47.093C tj@48.781C soc1@47.75C VDD_IN 8703mW/7078mW VDD_CPU_GPU_CV 4206mW/2593mW VDD_SOC 1470mW/1482mW
05-26-2026 17:42:27 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.75C soc2@46.312C soc0@45.375C gpu@46.937C tj@48.75C soc1@47.781C VDD_IN 8703mW/7120mW VDD_CPU_GPU_CV 4206mW/2635mW VDD_SOC 1470mW/1482mW
05-26-2026 17:42:27 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.843C soc2@46.312C soc0@45.406C gpu@47.125C tj@48.718C soc1@47.656C VDD_IN 8703mW/7159mW VDD_CPU_GPU_CV 4206mW/2674mW VDD_SOC 1470mW/1481mW
05-26-2026 17:42:28 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.75C soc2@46.312C soc0@45.468C gpu@47.062C tj@48.75C soc1@47.687C VDD_IN 8703mW/7197mW VDD_CPU_GPU_CV 4206mW/2711mW VDD_SOC 1470mW/1481mW
05-26-2026 17:42:28 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.812C soc2@46.468C soc0@45.531C gpu@47.125C tj@48.812C soc1@47.75C VDD_IN 8703mW/7233mW VDD_CPU_GPU_CV 4206mW/2747mW VDD_SOC 1470mW/1481mW
05-26-2026 17:42:29 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.906C soc2@46.375C soc0@45.531C gpu@47.062C tj@48.906C soc1@47.781C VDD_IN 8703mW/7267mW VDD_CPU_GPU_CV 4206mW/2781mW VDD_SOC 1470mW/1480mW
05-26-2026 17:42:29 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.937C soc2@46.406C soc0@45.531C gpu@47.375C tj@48.937C soc1@47.781C VDD_IN 8703mW/7300mW VDD_CPU_GPU_CV 4206mW/2813mW VDD_SOC 1470mW/1480mW
05-26-2026 17:42:30 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.968C soc2@46.5C soc0@45.687C gpu@47.218C tj@48.968C soc1@47.937C VDD_IN 8703mW/7331mW VDD_CPU_GPU_CV 4206mW/2844mW VDD_SOC 1470mW/1480mW
05-26-2026 17:42:30 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.187C soc2@46.593C soc0@45.562C gpu@47.437C tj@49.187C soc1@47.968C VDD_IN 8703mW/7361mW VDD_CPU_GPU_CV 4206mW/2874mW VDD_SOC 1470mW/1480mW
05-26-2026 17:42:31 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.843C soc2@46.5C soc0@45.593C gpu@47.281C tj@48.843C soc1@47.781C VDD_IN 8703mW/7389mW VDD_CPU_GPU_CV 4206mW/2902mW VDD_SOC 1470mW/1480mW
05-26-2026 17:42:31 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.906C soc2@46.531C soc0@45.593C gpu@47.437C tj@48.906C soc1@47.781C VDD_IN 8703mW/7417mW VDD_CPU_GPU_CV 4199mW/2929mW VDD_SOC 1470mW/1479mW
05-26-2026 17:42:32 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.937C soc2@46.593C soc0@45.718C gpu@47.75C tj@48.937C soc1@47.843C VDD_IN 8703mW/7443mW VDD_CPU_GPU_CV 4206mW/2955mW VDD_SOC 1470mW/1479mW
05-26-2026 17:42:32 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49C soc2@46.593C soc0@45.687C gpu@47.406C tj@49C soc1@47.843C VDD_IN 8703mW/7468mW VDD_CPU_GPU_CV 4206mW/2980mW VDD_SOC 1470mW/1479mW
05-26-2026 17:42:33 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49C soc2@46.656C soc0@45.812C gpu@47.593C tj@49C soc1@47.968C VDD_IN 8703mW/7492mW VDD_CPU_GPU_CV 4206mW/3004mW VDD_SOC 1470mW/1479mW
05-26-2026 17:42:33 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.093C soc2@46.593C soc0@45.875C gpu@47.437C tj@49.093C soc1@47.937C VDD_IN 8703mW/7515mW VDD_CPU_GPU_CV 4206mW/3027mW VDD_SOC 1470mW/1479mW
05-26-2026 17:42:34 RAM 1637/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.312C soc2@46.687C soc0@45.687C gpu@47.5C tj@49.312C soc1@48.125C VDD_IN 8703mW/7538mW VDD_CPU_GPU_CV 4206mW/3049mW VDD_SOC 1470mW/1478mW
